# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.,,,,
# ,,,,
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI),,,,
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.,,,,
# ,,,,
# STN         LON(east)   LAT(north)  ALT(m)      NAME,,,,
# 275         5.873       52.056      48.20       Deelen      ,,,,
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius),,,,
# Q         : Globale straling (in J/cm2) / Global radiation (in J/cm2),,,,
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm),,,,
# STN,YYYYMMDD,   TG,    Q,   RH
275,19960402,-3,1084,-1
275,19960403,26,1758,0
275,19960404,55,1756,0
275,19960405,57,1624,0
275,19960406,80,994,0
275,19960407,75,1528,0
275,19960408,53,499,-1
275,19960409,76,747,0
275,19960410,96,527,40
275,19960411,75,319,30
275,19960412,23,2045,0
275,19960413,44,1867,0
275,19960414,58,1670,0
275,19960415,91,2136,0
275,19960416,125,1949,0
275,19960417,135,1880,-1
275,19960418,107,1409,0
275,19960419,144,2017,0
275,19960420,171,1529,0
275,19960421,181,2229,0
275,19960422,195,1662,0
275,19960423,157,794,-1
275,19960424,114,1856,1
275,19960425,95,1225,-1
275,19960426,112,1070,0
275,19960427,126,1469,0
275,19960428,112,1781,-1
275,19960429,62,1141,-1
275,19960430,89,1589,0
275,19960501,123,1202,5
275,19960502,102,761,128
275,19960503,86,1016,32
275,19960504,62,1056,-1
275,19960505,51,1307,-1
275,19960506,74,2040,0
275,19960507,97,2300,0
275,19960508,88,1654,0
275,19960509,85,1297,-1
275,19960510,62,523,5
275,19960511,80,642,0
275,19960512,85,533,0
275,19960513,84,584,0
275,19960514,95,651,-1
275,19960515,76,922,2
275,19960516,74,1849,5
275,19960517,100,1112,27
275,19960518,104,641,5
275,19960519,127,1435,2
275,19960520,107,2124,0
275,19960521,108,1422,7
275,19960522,103,1112,17
275,19960523,124,862,65
275,19960524,147,1222,26
275,19960525,122,838,96
275,19960526,127,1409,25
275,19960527,107,511,43
275,19960528,106,2438,-1
275,19960529,160,1461,-1
275,19960530,203,2249,0
275,19960531,179,2275,0
275,19960601,135,1714,-1
275,19960602,132,1559,0
275,19960603,150,2012,-1
275,19960604,163,1835,0
275,19960605,213,2644,0
275,19960606,236,2675,0
275,19960607,259,2253,0
275,19960608,230,1856,38
275,19960609,151,899,0
275,19960610,205,2581,0
275,19960611,213,2694,5
275,19960612,157,2209,0
275,19960613,129,2341,0
275,19960614,114,1509,0
275,19960615,135,2880,0
275,19960616,153,2716,0
275,19960617,176,2854,0
275,19960618,154,2379,0
275,19960619,122,646,-1
275,19960620,120,1814,-1
275,19960621,104,1283,-1
275,19960622,109,1088,13
275,19960623,111,792,5
275,19960624,115,661,-1
275,19960625,126,982,3
275,19960626,163,2311,0
275,19960627,142,1136,23
275,19960628,157,1260,1
275,19960629,128,936,129
275,19960630,141,893,11
275,19960701,130,1167,88
275,19960702,134,1593,11
275,19960703,161,1495,14
275,19960704,160,1337,64
275,19960705,141,1117,-1
275,19960706,121,1071,59
275,19960707,131,1866,0
275,19960708,117,1471,-1
275,19960709,136,1268,18
275,19960710,146,1512,26
275,19960711,173,1920,-1
275,19960712,181,1859,-1
275,19960713,176,1819,0
275,19960714,167,436,-1
275,19960715,156,2206,0
275,19960716,141,2243,0
275,19960717,145,2322,0
275,19960718,129,1483,0
275,19960719,153,2283,0
275,19960720,192,2691,0
275,19960721,210,2489,0
275,19960722,221,2419,0
275,19960723,204,1537,2
275,19960724,160,945,61
275,19960725,162,1151,42
275,19960726,174,1861,0
275,19960727,167,1215,-1
275,19960728,158,2302,0
275,19960729,186,1451,-1
275,19960730,178,1248,25
275,19960731,175,721,2
275,19960801,163,1297,-1
275,19960802,154,1469,0
275,19960803,140,1358,0
275,19960804,176,2492,0
275,19960805,191,2548,0
275,19960806,171,902,161
275,19960807,145,936,0
275,19960808,175,1999,0
275,19960809,220,1934,0
275,19960810,212,992,-1
275,19960811,181,1355,118
275,19960812,170,647,131
275,19960813,176,858,13
275,19960814,172,679,4
275,19960815,172,1138,5
275,19960816,168,536,0
275,19960817,165,1047,0
275,19960818,191,2050,0
